pl_name,hostname,sy_snum,pl_controv_flag,pl_orbper,pl_rade,pl_bmasse,pl_eqt,st_spectype,st_teff
GJ 1252 b,GJ 1252,1,0,0.5182349,1.193,2.09,1089,M3,3458
K2-3 c,K2-3,1,0,24.6491,1.644,2.1,,,
Kepler-138 d,Kepler-138,1,0,23.0923,1.51,2.1,345,,3841
Kepler-54 c,Kepler-54,1,0,12.07,1.688,2.1,,,3853.9
Kepler-80 e,Kepler-80,1,0,4.645,1.3,2.1,,,
Kepler-1972 c,Kepler-1972,1,0,11.3295,0.868,2.11,,,5818
HD 260655 b,HD 260655,1,0,2.76953,1.24,2.14,709,M0 V,3803
Kepler-85 c,Kepler-85,1,0,12.51,1.978,2.15,,,5505.2
K2-3 d,K2-3,1,0,44.55603,1.458,2.2,305,M V,3844
Kepler-345 c,Kepler-345,1,0,9.387,1.3,2.2,,,
TOI-1266 c,TOI-1266,1,0,18.80151,1.56,2.2,344,M3,3600
L 98-59 c,L 98-59,1,0,3.6906777,1.385,2.22,553,M3 V,3415
KOI-1831 d,Kepler-324,1,0,34.169,1.13,2.23,475,,5233
TOI-561 b,TOI-561,1,0,0.4465688,1.37,2.24,,,5326
Kepler-138 c,Kepler-138,1,0,13.7815,1.51,2.3,410,,3841
L 98-59 d,L 98-59,1,0,7.4512,1.57,2.31,409,M3 V,3412
L 98-59 d,L 98-59,1,0,7.450729,1.58,2.31,,M3 V,3412
LHS 1478 b,LHS 1478,1,0,1.9495378,1.242,2.33,595,m3 V,3381
Kepler-1876 b,Kepler-1876,1,0,6.99205,0.853,2.4,1299,,6104
Kepler-65 b,Kepler-65,1,0,2.1549209,1.444,2.4,,,
GJ 9827 c,GJ 9827,1,0,3.648083,1.269,2.42,811,K5 V,4269
L 98-59 c,L 98-59,1,0,3.6906745,1.34,2.42,,M3 V,3412
L 98-59 c,L 98-59,1,0,3.6904,1.35,2.42,517,M3 V,3412
TOI-1807 b,TOI-1807,1,0,0.54937097,1.497,2.44,1694,,4914
Kepler-65 b,Kepler-65,1,0,2.15490904,1.521,2.45457,,,
K2-229 b,K2-229,1,0,0.584,1.197,2.49,,,5185
Wolf 327 b,Wolf 327,1,0,0.5734745,1.24,2.53,996,M2.5 V,3542
Kepler-23 b,Kepler-23,1,0,7.1,1.638,2.56,,,5828
TOI-1807 b,TOI-1807,1,0,0.549374,1.37,2.57,,,4730
K2-229 b,K2-229,1,0,0.584249,1.164,2.59,1960,,5185
Kepler-93 b,Kepler-93,1,0,4.72674,1.5,2.59,,,5669
Kepler-102 d,Kepler-102,1,0,10.312,1.17,2.6,,,
K2-3 c,K2-3,1,0,24.646729,1.582,2.68,372,M V,3844
TOI-244 b,TOI-244,1,0,7.397225,1.52,2.68,458,M2.5 V,3433
Kepler-406 c,Kepler-406,1,0,4.62332,0.85,2.71,,,5538
GJ 486 b,GJ 486,1,0,1.46712127,1.289,2.77,696,,3317
Kepler-114 c,Kepler-114,1,0,8.041,1.6,2.8,,,
GJ 486 b,GJ 486,1,0,1.467119,1.305,2.82,701,M3.5 V,3340
Kepler-80 e,Kepler-80,1,0,4.6447,1.33,2.97,,K5,4540
GJ 486 b,GJ 486,1,0,1.4671205,1.343,3,706,M3.5 V,3291
Kepler-100 d,Kepler-100,1,0,35.3331,1.61,3,,,5825
Kepler-102 c,Kepler-102,1,0,7.07142,0.58,3,,,4903
Kepler-102 d,Kepler-102,1,0,10.311767,1.154,3,686,,4909
Kepler-105 c,Kepler-105,1,0,7.126,1.85,3,,,
TOI-561 b,TOI-561,1,0,0.44656895,1.457,3,2135,,5342
GJ 9827 d,GJ 9827,1,0,6.20183,1.98,3.02,675,K7 V,4236
GJ 9827 d,GJ 9827,1,0,6.201812,1.89,3.02,600,K7 V,4236
TOI-1685 b,TOI-1685,1,0,0.66913924,1.468,3.03,1062,M2.65 V,3575
TOI-431 b,TOI-431,1,0,0.490047,1.28,3.07,1862,,4850
HD 260655 c,HD 260655,1,0,5.70588,1.533,3.09,557,M0 V,3803
Kepler-54 b,Kepler-54,1,0,8.01,1.856,3.09,,,3853.9
TOI-1685 b,TOI-1685,1,0,0.6691406,1.7,3.09,1069,M3.0 V,3434
K2-138 b,K2-138,1,0,2.35309,1.51,3.1,,,5356.3
K2-3 c,K2-3,1,0,24.64638,1.77,3.1,,,3835
Kepler-37 b,Kepler-37,1,0,13.36731,0.296,3.1783,,,5417
Kepler-407 b,Kepler-407,1,0,0.66931,1.07,3.2,,,5476
TOI-561 b,TOI-561,1,0,0.446573,1.45,3.2,2480,,5326
TOI-1468 b,TOI-1468,1,0,1.8805136,1.28,3.21,682,M3.0 V,3496
Kepler-10 b,Kepler-10,1,0,0.8374907,1.47,3.26,2188,,5708
K2-3 c,K2-3,1,0,24.646582,1.69,3.3,381,,3835
Kepler-595 c,Kepler-595,1,0,12.38602,1.009,3.3,,,
TOI-260 b,TOI-260,1,0,13.475815,1.473,3.3,439,,4050
Kepler-10 b,Kepler-10,1,0,0.8374907,1.47,3.33,2169,,5708
Kepler-128 c,Kepler-128,1,0,22.8,1.521,3.38,,,6072
TOI-238 b,TOI-238,1,0,1.2730991,1.402,3.4,1311,K2V,5059
Kepler-97 b,Kepler-97,1,0,2.58663808,1.623,3.40678,,,
HD 23472 c,HD 23472,1,0,29.79749,1.87,3.41,467,K4 V,4684
GJ 9827 b,GJ 9827,1,0,1.2089802,1.62,3.42,1172,K5 V,4269
TOI-1685 b,TOI-1685,1,0,0.6691416,1.459,3.43,1052,,3461
TOI-1416 b,TOI-1416,1,0,1.0697568,1.62,3.48,1517,G9 V,4884
Kepler-414 b,Kepler-414,1,0,4.7,1.71,3.5,,,
Kepler-107 b,Kepler-107,1,0,3.1800218,1.536,3.51,1593,,5854
Kepler-97 b,Kepler-97,1,0,2.58664,1.48,3.51,,,5779
Kepler-98 b,Kepler-98,1,0,1.54168,1.99,3.55,,,5539
Kepler-10 b,Kepler-10,1,0,0.837,1.489,3.57,,,5708
TOI-1444 b,TOI-1444,1,0,0.4702743,1.418,3.58,2130,,5460
Kepler-105 c,Kepler-105,1,0,7.126,1.6,3.6,,,
Kepler-93 b,Kepler-93,1,0,4.72673947,1.629,3.60067,,,
Kepler-10 b,Kepler-10,1,0,0.83749133,1.489,3.65784,,,
GJ 9827 b,GJ 9827,1,0,1.208966,1.58,3.69,1114,K6 V,4219
HD 21749 c,GJ 143,1,0,7.78993,0.892,3.7,701,K4.5,4640
Kepler-60 b,Kepler-60,1,0,7.133,1.6,3.7,,,
Kepler-80 d,Kepler-80,1,0,3.072,1.3,3.7,,,
Kepler-10 b,Kepler-10,1,0,0.8374907,1.47,3.72,,,5708
TOI-286 c,TOI-286,1,0,39.361826,1.88,3.72,475,K3 V,5152
Kepler-101 c,Kepler-101,1,0,6.02976,1.25,3.78,1413,G3 IV,5667
TOI-1685 b,TOI-1685,1,0,0.6691403,1.7,3.78,1069,M3.0 V,3434
Kepler-128 b,Kepler-128,1,0,15,1.421,3.79,,,6072
Kepler-102 d,Kepler-102,1,0,10.3117,1.18,3.8,,,4903
Kepler-107 b,Kepler-107,1,0,3.1800218,1.536,3.8,1592,,5854
Kepler-107 d,Kepler-107,1,0,7.95839,0.86,3.8,1173,,5854
Kepler-93 b,Kepler-93,1,0,4.72673978,1.478,3.8,1037,,5669
Kepler-138 c,Kepler-138,1,0,13.78164,1.61,3.83,,M1 V,3871
Kepler-36 b,Kepler-36,1,0,13.86825,1.498,3.83,,,5979
Kepler-60 c,Kepler-60,1,0,8.9187,1.9,3.85,,,5905
Gliese 12 b,Gliese 12,1,0,12.761408,0.958,3.87,315,M3.0 V,3296
TOI-1444 b,TOI-1444,1,0,0.4702694,1.397,3.87,,,5430
K2-36 b,K2-36,1,0,1.422614,1.43,3.9,1224,,4916
Kepler-323 b,Kepler-323,1,0,1.678328,1.381,3.9,1838,,6004
Kepler-36 b,Kepler-36,1,0,13.848,1.5,3.9,,,
Kepler-60 d,Kepler-60,1,0,11.899,1.6,3.9,,,
Kepler-48 b,Kepler-48,1,0,4.778,1.88,3.94,,,5194
G 9-40 b,G 9-40,1,0,5.7459982,1.9,4,441,,3395
Kepler-62 c,Kepler-62,1,0,12.4417,0.54,4,578,K2 V,4925
TOI-1799 b,TOI-1799,1,0,7.085738,1.422,4,923,,5698
TOI-6008 b,TOI-6008,1,0,0.8574347,1.03,4,707,M5.0,3075
TOI-776 b,TOI-776,1,0,8.24661,1.85,4,514,M1 V,3709
Kepler-93 b,Kepler-93,1,0,4.72673978,1.478,4.02,1037,,5655
Kepler-50 b,Kepler-50,1,0,7.8128584,1.542,4.02572,,,
HD 137496 b,HD 137496,1,0,1.62116,1.31,4.04,2130,G,5799
L 168-9 b,L 168-9,1,0,1.40152604,1.63,4.07,998,M0.5 V,3842
CoRoT-7 b,CoRoT-7,1,0,0.85359163,1.681,4.07661,,,5275
HD 25463 c,HD 25463,1,0,3.04405,1.5,4.1,1707,,6220
TOI-2095 b,TOI-2095,1,0,17.66484,1.25,4.1,347,M2.5 V,3759
Kepler-126 b,Kepler-126,1,0,10.49567752,1.579,4.11726,,,
Kepler-80 e,Kepler-80,1,0,4.64489,1.6,4.13,,K5,4540
Kepler-65 d,Kepler-65,1,0,8.13167,1.587,4.14,,,
Kepler-60 d,Kepler-60,1,0,11.8981,1.99,4.16,,,5905
Kepler-60 b,Kepler-60,1,0,7.1334,1.71,4.19,,,5905
K2-3 c,K2-3,1,0,24.6454,1.72,4.2,,,3896
TOI-260 b,TOI-260,1,0,13.475853,1.71,4.23,493,K8 V,4026
Kepler-65 d,Kepler-65,1,0,8.13122484,1.78,4.24829,,,
