pl_name,hostname,sy_snum,pl_controv_flag,pl_orbper,pl_rade,pl_bmasse,pl_eqt,st_spectype,st_teff
TOI-411 b,HD 22946,1,0,4.040295,1.362,13.71,1241,,6169
K2-19 d,K2-19,1,0,2.50856,1.14,14,,,5430
Kepler-62 d,Kepler-62,1,0,18.16406,1.95,14,510,K2 V,4925
Kepler-339 d,Kepler-339,1,0,10.558,1.18,14.7,,,
Kepler-23 b,Kepler-23,1,0,7.107,1.9,15.2,,,
WASP-84 c,WASP-84,1,0,1.4468849,1.95,15.2,1329,K0,
HD 219134 d,HD 219134,1,0,46.859,1.61,16.17,410,,4699
Kepler-450 d,Kepler-450,1,0,7.5144279,0.941,17.6,,,
HD 23472 b,HD 23472,1,0,17.667,1.872,17.92,,,
K2-38 b,K2-38,1,0,4.01593,1.906,19.0698,,,5757
TOI-2285 b,TOI-2285,1,0,27.26955,1.74,19.5,284,,3491
Kepler-54 c,Kepler-54,1,0,12.072,1.32,19.8,,,
Kepler-327 c,Kepler-327,1,0,5.212,1.18,20.3,,,
CoRoT-7 b,CoRoT-7,1,0,0.853585,1.68,21,,G9 V,5275
Kepler-409 b,Kepler-409,1,0,68.9584,1.19,22,,,5460
WASP-47 e,WASP-47,1,0,0.789597,1.829,22,,,5576
Kepler-226 b,Kepler-226,1,0,3.941,1.56,24,,,
LP 890-9 c,LP 890-9,1,0,8.457463,1.367,25.3,272,M6 V,2850
Kepler-128 b,Kepler-128,1,0,15.09,1.13,30.7,,,
TOI-1136 b,TOI-1136,1,0,4.17278,1.9,31,1216,,5805
Kepler-128 c,Kepler-128,1,0,22.804,1.13,33.3,,,
Kepler-203 d,Kepler-203,1,0,11.33,1.22,33.9,,,
Kepler-62 f,Kepler-62,1,0,267.291,1.41,35,208,K2 V,4925
Kepler-122 f,Kepler-122,1,0,56.268,1.75,36,,,
Kepler-62 e,Kepler-62,1,0,122.3874,1.61,36,270,K2 V,4925
Kepler-128 c,Kepler-128,1,0,22.801,1.13,37,,,
WASP-132 c,WASP-132,1,0,1.011534,1.85,37.35,,K4,4714
Kepler-114 c,Kepler-114,1,0,8.041,1.29,40,,,
Kepler-84 b,Kepler-84,1,0,8.726,1.95,40,,,
Kepler-128 b,Kepler-128,1,0,15.09,1.13,42.7,,,
Kepler-52 c,Kepler-52,1,0,16.3850021,1.84,45.4,,,4075
Kepler-79 b,Kepler-79,1,0,13.485,1.92,54.1,,,
TOI-1749 b,TOI-1749,1,0,2.38839,1.39,57,831,M0 V,3985
Kepler-272 b,Kepler-272,1,0,2.971,1.31,78,,,
Kepler-323 c,Kepler-323,1,0,3.554,1.9,79.7,,,
Kepler-349 b,Kepler-349,1,0,5.93,1.86,94.5,,,
Kepler-272 c,Kepler-272,1,0,6.057,1.63,97.8,,,
KOI-4777.01,KOI-4777,1,0,0.412,0.51,99.2,1180,,3515
Kepler-415 b,Kepler-415,1,0,4.176,1.21,119.9,,,
K2-137 b,K2-137,1,0,0.179715,0.89,158.915,1471,M3 V,3492
Kepler-23 b,Kepler-23,1,0,7.1073,1.9,254.3,,,5760
Kepler-323 b,Kepler-323,1,0,1.678,1.67,684.4,,,
